front,back,tags
"What is the capital of France?","Paris","geography,europe,capitals"
"What is 2 + 2?","4","math,basic,arithmetic"
"Who wrote Romeo and Juliet?","William Shakespeare","literature,drama,shakespeare"
"What is the powerhouse of the cell?","Mitochondria","biology,cells,organelles"
"What does HTML stand for?","HyperText Markup Language","programming,web,html"
"What is the largest planet in our solar system?","Jupiter","astronomy,planets,space"
"In what year did World War II end?","1945","history,world-war,20th-century"
"What is the chemical symbol for gold?","Au","chemistry,elements,metals"
"Who painted the Mona Lisa?","Leonardo da Vinci","art,renaissance,painting"
"What is the square root of 64?","8","math,algebra,square-roots"
